Numbr,Serial Number,Item Code,Entry Date,Batch Number,Current Process,Current Code,Latest Movement dt,Current Location,Latest Core Date,Latest Any Key,Latest Core Key
6421,E6421,Checks D00001 Big Checks,13/6/2025,7,Kora,Kora Checks D00001 Big Checks,No Movement,,,,
6420,E6420,Checks D00001 Big Checks,13/6/2025,7,Kora,Kora Checks D00001 Big Checks,No Movement,,,,
6422,E6422,Checks D00001 Big Checks,13/6/2025,7,Kora,Kora Checks D00001 Big Checks,No Movement,,,,
6441,E6441,Checks D00061 Flower Star,13/6/2025,7,Kora,Kora Checks D00061 Flower Star,No Movement,,,,
6423,E6423,Plain D00014 Kalasa,13/6/2025,7,Kora,Kora Plain D00014 Kalasa,No Movement,,,,
6424,E6424,Plain D00014 Kalasa,13/6/2025,7,Kora,Kora Plain D00014 Kalasa,No Movement,,,,
6425,E6425,Plain D00014 Kalasa,13/6/2025,7,Kora,Kora Plain D00014 Kalasa,No Movement,,,,
6435,E6435,Pallu Chx D00065 Small Pyramids,13/6/2025,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,,,,
6436,E6436,Pallu Chx D00065 Small Pyramids,13/6/2025,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,,,,
6434,E6434,Pallu Chx D00065 Small Pyramids,13/6/2025,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,,,,
6433,E6433,Pallu Chx D00065 Small Pyramids,13/6/2025,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,,,,
6426,E6426,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6427,E6427,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6429,E6429,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6431,E6431,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6428,E6428,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6430,E6430,Plain D00027 Diamond Checks,13/6/2025,7,Kora,Kora Plain D00027 Diamond Checks,No Movement,,,,
6432,E6432,Pallu Chx D00065 Small Pyramids,13/6/2025,7,Kora,Kora Pallu Chx D00065 Small Pyramids,No Movement,,,,
6412,E6412,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6410,E6410,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6414,E6414,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6409,E6409,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6411,E6411,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6413,E6413,Pallu Chx D00066 Flower Border,13/6/2025,7,Kora,Kora Pallu Chx D00066 Flower Border,No Movement,,,,
6439,E6439,Checks D00011 2 Line Checks,13/6/2025,7,Kora,Kora Checks D00011 2 Line Checks,No Movement,,,,
6438,E6438,Checks D00011 2 Line Checks,13/6/2025,7,Kora,Kora Checks D00011 2 Line Checks,No Movement,,,,
6437,E6437,Checks D00011 2 Line Checks,13/6/2025,7,Kora,Kora Checks D00011 2 Line Checks,No Movement,,,,
6440,E6440,Checks D00011 2 Line Checks,13/6/2025,7,Kora,Kora Checks D00011 2 Line Checks,No Movement,,,,
6453,E6453,Checks D00011 2 Line Checks,19/6/2025,7,Kora,Kora Checks D00011 2 Line Checks,No Movement,,,,
