item_code,kora,white,self,contrast
Checks D00001 Big Checks,Kora Checks D00001 Big Checks,White Checks D00001 Big Checks,Self Checks D00001 Big Checks,Contrast Checks D00001 Big Checks
Plain D00002 Big Checks,Kora Plain D00002 Big Checks,White Plain D00002 Big Checks,Self Plain D00002 Big Checks,Contrast Plain D00002 Big Checks
Checks D00003 Warp Line Checks,Kora Checks D00003 Warp Line Checks,White Checks D00003 Warp Line Checks,Self Checks D00003 Warp Line Checks,Contrast Checks D00003 Warp Line Checks
Plain D00004 Warp Line Checks,Kora Plain D00004 Warp Line Checks,White Plain D00004 Warp Line Checks,Self Plain D00004 Warp Line Checks,Contrast Plain D00004 Warp Line Checks
Checks D00005 4 Link Checks,Kora Checks D00005 4 Link Checks,White Checks D00005 4 Link Checks,Self Checks D00005 4 Link Checks,Contrast Checks D00005 4 Link Checks
Plain D00006 4 Link Checks,Kora Plain D00006 4 Link Checks,White Plain D00006 4 Link Checks,Self Plain D00006 4 Link Checks,Contrast Plain D00006 4 Link Checks
Checks D00007 Tennis Checks,Kora Checks D00007 Tennis Checks,White Checks D00007 Tennis Checks,Self Checks D00007 Tennis Checks,Contrast Checks D00007 Tennis Checks
Plain D00008 Tennis Checks,Kora Plain D00008 Tennis Checks,White Plain D00008 Tennis Checks,Self Plain D00008 Tennis Checks,Contrast Plain D00008 Tennis Checks
Checks D00009 1/2" 2 Line Checks,Kora Checks D00009 1/2" 2 Line Checks,White Checks D00009 1/2" 2 Line Checks,Self Checks D00009 1/2" 2 Line Checks,Contrast Checks D00009 1/2" 2 Line Checks
Plain D00010 1/2" 2 Line Checks,Kora Plain D00010 1/2" 2 Line Checks,White Plain D00010 1/2" 2 Line Checks,Self Plain D00010 1/2" 2 Line Checks,Contrast Plain D00010 1/2" 2 Line Checks
Checks D00011 2 Line Checks,Kora Checks D00011 2 Line Checks,White Checks D00011 2 Line Checks,Self Checks D00011 2 Line Checks,Contrast Checks D00011 2 Line Checks
Plain D00012 2 Line Checks,Kora Plain D00012 2 Line Checks,White Plain D00012 2 Line Checks,Self Plain D00012 2 Line Checks,Contrast Plain D00012 2 Line Checks
Plain D00013 Thorana,Kora Plain D00013 Thorana,White Plain D00013 Thorana,Self Plain D00013 Thorana,Contrast Plain D00013 Thorana
Plain D00014 Kalasa,Kora Plain D00014 Kalasa,White Plain D00014 Kalasa,Self Plain D00014 Kalasa,Contrast Plain D00014 Kalasa
Plain D00015 1/4" Border,Kora Plain D00015 1/4" Border,White Plain D00015 1/4" Border,Self Plain D00015 1/4" Border,Contrast Plain D00015 1/4" Border
Plain D00016 Temple,Kora Plain D00016 Temple,White Plain D00016 Temple,Self Plain D00016 Temple,Contrast Plain D00016 Temple
Checks D00017 Big Mango Border,Kora Checks D00017 Big Mango Border,White Checks D00017 Big Mango Border,Self Checks D00017 Big Mango Border,Contrast Checks D00017 Big Mango Border
