serial_number,item_code,movement_date,done_to_process,from_process,body_colour,border_colour,from_location,to_location,quality,document_number,notes
E5900,Plain D00015 1/4" Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5368,Plain D00025 Thene Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5582,Checks D00011 2 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5892,Plain D00054 Jyothi Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5721,Checks D00056 Balli 3 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5126,Plain D00051 1/2" X Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5217,Checks D00034 Geo Star,2025-09-02,,Self Dyed,,,,,1C,,,
E5133,Plain D00051 1/2" X Border,2025-09-02,,Self Dyed,,,,,1C,,,
E4697,Checks D00011 2 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5269,Plain D00025 Thene Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5175,Checks D00056 Balli 3 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5045,Plain D00015 1/4" Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5174,Checks D00034 Geo Star,2025-09-02,,Self Dyed,,,,,1C,,,
E5656,Plain D00054 Jyothi Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5643,Checks D00011 2 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5634,Plain D00051 1/2" X Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5848,Checks D00056 Balli 3 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5636,Plain D00025 Thene Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5843,Checks D00034 Geo Star,2025-09-02,,Self Dyed,,,,,1C,,,
E5635,Plain D00015 1/4" Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5512,Checks D00011 2 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5518,Plain D00054 Jyothi Border,2025-09-02,,Self Dyed,,,,,1C,,,
E5845,Checks D00056 Balli 3 Line Checks,2025-09-02,,Self Dyed,,,,,1C,,,
E5242,Plain D00051 1/2" X Border,2025-09-02,,Self Dyed,,,,,1C,,,
